user_id,total_listens,last_listen,content_variety_score,listening_time_of_day,sessions,returned_within_7_days,listening_days,days_since_last_session,replay_count,creator_followed,engagement_depth,total_plays,age,gender,country,completion_rate,skip_rate,replay_rate,avg_session_duration,episode_duration_minutes,content_type,genre,next_episode_played,liked_content,shared_content,commented,is_premium_content,subscription_status,ad_completion_rate,peak_hour_activity,returned_within_3_days,engaged,engagement_intensity,skip_completion_gap,recency_risk_score,high_skip_user,low_completion_user,listen_completion_ratio,is_power_listener,content_affinity_score,time_of_day_encoded
user_000001,16685,2009-05-04 00:00:00+00:00,657,afternoon,26.824758842443728,1,622,466,3,1,4,53614,,m,Japan,1.0,0.0,0.6,109.01446945337621,30,music,music,1,1,1,1,0,free,,0,1,1,6.26185621718151,-1.0,6.1463292576688975,0,0,30.0,1,1.2,1
user_000002,57438,2009-04-28 00:00:00+00:00,1283,afternoon,63.257709251101325,1,908,472,0,0,1,2831,,f,Peru,1.0,0.0,0.0,140.0,30,music,music,1,1,0,0,0,free,,0,1,1,18.72321204049511,-1.0,6.159095388491933,0,0,30.0,0,1.2,1
user_000004,6383,2009-04-30 00:00:00+00:00,995,night,34.13368983957219,1,187,470,0,0,1,782,,f,,0.9212744373169274,0.0,0.0,121.78764401436977,30,music,music,1,1,0,0,0,free,,1,1,1,8.826033263436791,-0.9212744373169274,6.154858094016418,0,0,27.63823311950782,0,1.1527646623901564,3
user_000005,20341,2009-05-04 00:00:00+00:00,1081,evening,31.982704402515722,1,636,466,0,0,1,207,,m,Bulgaria,0.8354608207986667,0.04453917920133332,0.0,113.4513041590786,30,music,music,1,1,0,0,0,free,,1,1,1,7.769763436830222,-0.7909216415973334,6.420081717906609,0,0,25.063824623960002,0,1.1012764924792,2
user_000006,29021,2009-05-03 00:00:00+00:00,1686,evening,35.872682323856615,1,809,467,3,1,3,13234,24.0,,Russian Federation,1.0,0.0,0.6,128.91990111248458,30,music,music,1,1,1,0,0,free,,1,1,1,9.881843285964036,-1.0,6.148468295917647,0,0,30.0,1,1.2,2
user_000008,36156,2009-04-29 00:00:00+00:00,157,night,306.40677966101697,1,118,471,0,0,1,1804,23.0,m,Slovakia,1.0,0.0,0.0,140.0,30,music,music,1,1,0,0,0,free,,1,1,1,90.88336684860673,-1.0,6.156978985585555,0,0,30.0,0,1.2,3
user_000009,5233,2009-05-04 00:00:00+00:00,588,night,13.55699481865285,1,386,466,0,0,1,2315,19.0,f,United States,0.8574597950400259,0.02254020495997411,0.0,73.83869999271735,30,music,music,1,1,0,0,0,free,,1,1,1,2.1435350604225514,-0.8349195900800518,6.28486877888824,0,0,25.723793851200778,0,1.1144758770240155,3
user_000010,6574,2009-05-04 00:00:00+00:00,441,afternoon,28.458874458874458,1,231,466,0,0,1,455,19.0,m,Poland,0.857490351276538,0.02250964872346195,0.0,106.62411856313841,30,music,music,1,1,0,0,0,free,,0,1,1,6.497649688386513,-0.8349807025530761,6.284680970197761,0,0,25.72471053829614,0,1.1144942107659228,1
user_000012,69943,2009-04-29 00:00:00+00:00,2777,night,67.18828049951969,1,1041,471,3,0,2,21300,28.0,f,United States,1.0,0.0,0.6,140.0,30,music,music,1,1,1,0,0,free,,1,1,1,19.92872726680669,-1.0,6.156978985585555,0,0,30.0,1,1.2,3
user_000014,354,2009-05-01 00:00:00+00:00,111,evening,12.206896551724139,1,29,469,3,1,4,50502,,,,1.0,0.0,0.6,76.8551724137931,30,music,music,1,1,1,1,0,free,,1,1,1,1.9960917853619045,-1.0,6.152732694704104,0,0,30.0,1,1.2,2
user_000018,11714,2009-04-28 00:00:00+00:00,165,evening,32.269972451790636,1,363,472,3,0,2,12863,22.0,,United Kingdom,1.0,0.0,0.6,120.9939393939394,30,music,music,1,1,1,0,0,free,,1,1,1,8.254695752803489,-1.0,6.159095388491933,0,0,30.0,1,1.2,2
user_000019,17542,2009-03-19 00:00:00+00:00,857,evening,40.7953488372093,1,430,512,3,1,4,37557,29.0,f,Mexico,1.0,0.0,0.6,139.74976744186046,30,music,music,1,1,1,1,0,free,,1,1,1,11.113334332767197,-1.0,6.240275845170769,0,0,30.0,1,1.2,2
user_000020,4668,2009-03-18 00:00:00+00:00,623,afternoon,24.829787234042552,1,188,513,3,0,1,10731,27.0,f,Germany,1.0,0.0,0.6,104.62553191489363,30,music,music,1,1,0,0,0,free,,0,1,1,5.054143378784704,-1.0,6.2422232654551655,0,0,30.0,1,1.2,1
user_000021,70446,2009-06-19 00:00:00+00:00,762,evening,54.907248636009356,1,1283,420,0,0,1,4841,27.0,m,Canada,1.0,0.0,0.0,140.0,30,music,music,1,1,0,0,0,free,,1,1,1,18.258942539290523,-1.0,6.042632833682381,0,0,30.0,0,1.2,2
user_000022,14902,2009-04-29 00:00:00+00:00,1316,evening,57.98443579766537,1,257,471,0,0,1,4374,38.0,m,United Kingdom,1.0,0.0,0.0,140.0,30,music,music,1,1,0,0,0,free,,1,1,1,17.198773329816,-1.0,6.156978985585555,0,0,30.0,0,1.2,2
user_000023,42010,2009-05-03 00:00:00+00:00,229,afternoon,84.18837675350701,1,499,467,0,0,1,1198,,f,Germany,1.0,0.0,0.0,140.0,30,music,music,1,1,0,0,0,free,,0,1,1,25.184557148485005,-1.0,6.148468295917647,0,0,30.0,0,1.2,1
